icsd-id,mp-id,structure,b_exp
ICSD_157535,mp-22922,"{""@module"": ""pymatgen.core.structure"", ""@class"": ""Structure"", ""charge"": 0, ""lattice"": {""matrix"": [[3.39580525, -1e-08, 1.96056859], [1.13193439, 3.2015953600000002, 1.96056859], [0.0, 0.0, 3.92113719]], ""pbc"": [true, true, true], ""a"": 3.921137907804589, ""b"": 3.921137272339849, ""c"": 3.92113719, ""alpha"": 60.000000779002974, ""beta"": 60.000006139947594, ""gamma"": 60.000009001124944, ""volume"": 42.63058134852442}, ""properties"": {}, ""sites"": [{""species"": [{""element"": ""Ag"", ""occu"": 1}], ""abc"": [0.0, -0.0, 0.0], ""properties"": {""magmom"": -0.0}, ""label"": ""Ag"", ""xyz"": [0.0, 0.0, 0.0]}, {""species"": [{""element"": ""Cl"", ""occu"": 1}], ""abc"": [0.5, 0.5, 0.5], ""properties"": {""magmom"": -0.0}, ""label"": ""Cl"", ""xyz"": [2.26386982, 1.6007976750000001, 3.921137185]}], ""@version"": null}",44.0
ICSD_161881,mp-661,"{""@module"": ""pymatgen.core.structure"", ""@class"": ""Structure"", ""charge"": 0, ""lattice"": {""matrix"": [[3.128588, 0.0, 0.0], [-1.564293999999999, 2.709437, 0.0], [0.0, 0.0, 5.016955]], ""pbc"": [true, true, true], ""a"": 3.128588, ""b"": 3.1285882719535016, ""c"": 5.016955, ""alpha"": 90.0, ""beta"": 90.0, ""gamma"": 119.99999712453396, ""volume"": 42.52728307818043}, ""properties"": {}, ""sites"": [{""species"": [{""element"": ""Al"", ""occu"": 1}], ""abc"": [0.666667, 0.333333, 0.499287], ""properties"": {""magmom"": 0.0}, ""label"": ""Al"", ""xyz"": [1.5642955642940006, 0.9031447635209999, 2.504900411085]}, {""species"": [{""element"": ""Al"", ""occu"": 1}], ""abc"": [0.333333, 0.666667, 0.999286999999999], ""properties"": {""magmom"": 0.0}, ""label"": ""Al"", ""xyz"": [-1.5642939992751556e-06, 1.806292236479, 5.013377911084995]}, {""species"": [{""element"": ""N"", ""occu"": 1}], ""abc"": [0.666667, 0.333333, 0.880713], ""properties"": {""magmom"": -0.0}, ""label"": ""N"", ""xyz"": [1.5642955642940006, 0.9031447635209999, 4.418497488915]}, {""species"": [{""element"": ""N"", ""occu"": 1}], ""abc"": [0.333333, 0.666667, 0.380712999999999], ""properties"": {""magmom"": -0.0}, ""label"": ""N"", ""xyz"": [-1.5642939992751556e-06, 1.806292236479, 1.9100199889149951]}], ""@version"": null}",211.0
ICSD_151218,mp-2624,"{""@module"": ""pymatgen.core.structure"", ""@class"": ""Structure"", ""charge"": 0, ""lattice"": {""matrix"": [[3.78754953, -0.0, 2.18674194], [1.26251684, 3.57093527, 2.18674194], [-0.0, -0.0, 4.373485889999999]], ""pbc"": [true, true, true], ""a"": 4.373485081071866, ""b"": 4.3734846273844985, ""c"": 4.373485889999999, ""alpha"": 60.00000565299335, ""beta"": 60.00000908454812, ""gamma"": 59.999998301572866, ""volume"": 59.15180866014199}, ""properties"": {}, ""sites"": [{""species"": [{""element"": ""Al"", ""occu"": 1}], ""abc"": [-0.0, 0.0, 0.0], ""properties"": {""magmom"": 0.0}, ""label"": ""Al"", ""xyz"": [0.0, 0.0, 0.0]}, {""species"": [{""element"": ""Sb"", ""occu"": 1}], ""abc"": [0.25, 0.25, 0.25], ""properties"": {""magmom"": -0.0}, ""label"": ""Sb"", ""xyz"": [1.2625165925, 0.8927338175, 2.1867424425]}], ""@version"": null}",58.2
ICSD_107946,mp-2534,"{""@module"": ""pymatgen.core.structure"", ""@class"": ""Structure"", ""charge"": 0, ""lattice"": {""matrix"": [[3.521252999999999, 0.0, 2.032997], [1.173751, 3.319868999999999, 2.032997], [0.0, 0.0, 4.065993]], ""pbc"": [true, true, true], ""a"": 4.065993051152201, ""b"": 4.065992915533793, ""c"": 4.065993, ""alpha"": 59.99999117709851, ""beta"": 59.99999228045072, ""gamma"": 59.99999375028118, ""volume"": 47.5318593853438}, ""properties"": {}, ""sites"": [{""species"": [{""element"": ""Ga"", ""occu"": 1}], ""abc"": [0.0, 0.0, 0.0], ""properties"": {""magmom"": 0.0}, ""label"": ""Ga"", ""xyz"": [0.0, 0.0, 0.0]}, {""species"": [{""element"": ""As"", ""occu"": 1}], ""abc"": [0.25, 0.25, 0.25], ""properties"": {""magmom"": -0.0}, ""label"": ""As"", ""xyz"": [1.1737509999999998, 0.8299672499999997, 2.0329967499999997]}], ""@version"": null}",74.8
ICSD_165462,mp-20305,"{""@module"": ""pymatgen.core.structure"", ""@class"": ""Structure"", ""charge"": 0, ""lattice"": {""matrix"": [[3.73983447, 0.0, 2.15919402], [1.24661183, 3.52594905, 2.15919402], [0.0, -0.0, 4.31838803]], ""pbc"": [true, true, true], ""a"": 4.318388666968727, ""b"": 4.318388191663136, ""c"": 4.31838803, ""alpha"": 60.00000116177053, ""beta"": 60.00000480270759, ""gamma"": 59.99999504979405, ""volume"": 56.944276054273985}, ""properties"": {}, ""sites"": [{""species"": [{""element"": ""In"", ""occu"": 1}], ""abc"": [0.25, 0.25, 0.25], ""properties"": {""magmom"": 0.0}, ""label"": ""In"", ""xyz"": [1.246611575, 0.8814872625, 2.1591940175]}, {""species"": [{""element"": ""As"", ""occu"": 1}], ""abc"": [0.0, -0.0, -0.0], ""properties"": {""magmom"": 0.0}, ""label"": ""As"", ""xyz"": [0.0, 0.0, 0.0]}], ""@version"": null}",60.0
ICSD_181291,mp-1479,"{""@module"": ""pymatgen.core.structure"", ""@class"": ""Structure"", ""charge"": 0, ""lattice"": {""matrix"": [[2.77535999, 0.0, 1.60235478], [0.92512033, 2.6166353, 1.60235478], [-0.0, -0.0, 3.20471056]], ""pbc"": [true, true, true], ""a"": 3.204709645986926, ""b"": 3.2047104017639794, ""c"": 3.20471056, ""alpha"": 60.000008688874686, ""beta"": 60.000000887576384, ""gamma"": 60.00000243347832, ""volume"": 23.272944325085422}, ""properties"": {}, ""sites"": [{""species"": [{""element"": ""B"", ""occu"": 1}], ""abc"": [-0.0, 0.0, -0.0], ""properties"": {""magmom"": -0.0}, ""label"": ""B"", ""xyz"": [0.0, 0.0, 0.0]}, {""species"": [{""element"": ""P"", ""occu"": 1}], ""abc"": [0.25, 0.25, 0.25], ""properties"": {""magmom"": -0.0}, ""label"": ""P"", ""xyz"": [0.92512008, 0.654158825, 1.60235503]}], ""@version"": null}",165.0
ICSD_180199,mp-1342,"{""@module"": ""pymatgen.core.structure"", ""@class"": ""Structure"", ""charge"": 0, ""lattice"": {""matrix"": [[3.41751801, 0.0, 1.97310523], [1.13917267, 3.2220662, 1.97310523], [0.0, -0.0, 3.94621046]], ""pbc"": [true, true, true], ""a"": 3.946210029550849, ""b"": 3.9462094746618206, ""c"": 3.94621046, ""alpha"": 59.99999174024437, ""beta"": 59.99999639169142, ""gamma"": 59.99999294301399, ""volume"": 43.453575205003915}, ""properties"": {}, ""sites"": [{""species"": [{""element"": ""Ba"", ""occu"": 1}], ""abc"": [-0.0, -0.0, -0.0], ""properties"": {""magmom"": 0.0}, ""label"": ""Ba"", ""xyz"": [0.0, 0.0, 0.0]}, {""species"": [{""element"": ""O"", ""occu"": 1}], ""abc"": [0.5, 0.5, 0.5], ""properties"": {""magmom"": -0.0}, ""label"": ""O"", ""xyz"": [2.27834534, 1.6110331, 3.94621046]}], ""@version"": null}",75.4
ICSD_15620,mp-2542,"{""@module"": ""pymatgen.core.structure"", ""@class"": ""Structure"", ""charge"": 0, ""lattice"": {""matrix"": [[2.69427722, 0.0, 0.0], [-1.347137609999999, 2.33331192, 0.0], [0.0, 0.0, 4.37601889]], ""pbc"": [true, true, true], ""a"": 2.69427722, ""b"": 2.694276202673103, ""c"": 4.37601889, ""alpha"": 90.0, ""beta"": 90.0, ""gamma"": 119.99998793495537, ""volume"": 27.51023288811809}, ""properties"": {}, ""sites"": [{""species"": [{""element"": ""Be"", ""occu"": 1}], ""abc"": [0.333333, 0.666667, 0.00016017], ""properties"": {""magmom"": 0.0}, ""label"": ""Be"", ""xyz"": [-6.804716093257713e-07, 1.55554205777064, 0.0007009069456113]}, {""species"": [{""element"": ""Be"", ""occu"": 1}], ""abc"": [0.666667, 0.333333, 0.50016017], ""properties"": {""magmom"": 0.0}, ""label"": ""Be"", ""xyz"": [1.3471402904716103, 0.77776986222936, 2.1887103519456113]}, {""species"": [{""element"": ""O"", ""occu"": 1}], ""abc"": [0.333333, 0.666667, 0.37733983], ""properties"": {""magmom"": -0.0}, ""label"": ""O"", ""xyz"": [-6.804716093257713e-07, 1.55554205777064, 1.6512462240293886]}, {""species"": [{""element"": ""O"", ""occu"": 1}], ""abc"": [0.666667, 0.333333, 0.87733983], ""properties"": {""magmom"": -0.0}, ""label"": ""O"", ""xyz"": [1.3471402904716103, 0.77776986222936, 3.839255669029389]}], ""@version"": null}",224.4
ICSD_18015,mp-23251,"{""@module"": ""pymatgen.core.structure"", ""@class"": ""Structure"", ""charge"": 0, ""lattice"": {""matrix"": [[4.03497188, -0.0, 2.32959187], [1.3449902900000001, 3.8042091300000003, 2.32959187], [-0.0, -0.0, 4.65918374]], ""pbc"": [true, true, true], ""a"": 4.659184086635859, ""b"": 4.65918493577361, ""c"": 4.65918374, ""alpha"": 60.00000848986925, ""beta"": 60.00000246107935, ""gamma"": 60.00001180962809, ""volume"": 71.51789670129199}, ""properties"": {}, ""sites"": [{""species"": [{""element"": ""K"", ""occu"": 1}], ""abc"": [-0.0, -0.0, 0.0], ""properties"": {""magmom"": 0.0}, ""label"": ""K"", ""xyz"": [0.0, 0.0, 0.0]}, {""species"": [{""element"": ""Br"", ""occu"": 1}], ""abc"": [0.5, 0.5, 0.5], ""properties"": {""magmom"": 0.0}, ""label"": ""Br"", ""xyz"": [2.689981085, 1.9021045650000001, 4.65918374]}], ""@version"": null}",15.39
ICSD_18013,mp-22916,"{""@module"": ""pymatgen.core.structure"", ""@class"": ""Structure"", ""charge"": 0, ""lattice"": {""matrix"": [[3.627134309999999, 0.0, 2.09412657], [1.20904477, 3.41969473, 2.09412657], [0.0, 0.0, 4.18825214]], ""pbc"": [true, true, true], ""a"": 4.188253740398155, ""b"": 4.188253501572474, ""c"": 4.18825214, ""alpha"": 60.00000285577771, ""beta"": 60.000004742074346, ""gamma"": 60.00000127508593, ""volume"": 51.949789918521944}, ""properties"": {}, ""sites"": [{""species"": [{""element"": ""Na"", ""occu"": 1}], ""abc"": [-0.0, 0.0, 0.0], ""properties"": {""magmom"": 0.0}, ""label"": ""Na"", ""xyz"": [0.0, 0.0, 0.0]}, {""species"": [{""element"": ""Br"", ""occu"": 1}], ""abc"": [0.5, 0.5, 0.5], ""properties"": {""magmom"": 0.0}, ""label"": ""Br"", ""xyz"": [2.4180895399999995, 1.709847365, 4.18825264]}], ""@version"": null}",20.6
ICSD_18017,mp-22867,"{""@module"": ""pymatgen.core.structure"", ""@class"": ""Structure"", ""charge"": 0, ""lattice"": {""matrix"": [[4.2326573, -1e-08, 2.44372603], [1.41088441, 3.99058775, 2.44372603], [0.0, -0.0, 4.88745206]], ""pbc"": [true, true, true], ""a"": 4.887451762313654, ""b"": 4.887451515721733, ""c"": 4.88745206, ""alpha"": 59.99999631616182, ""beta"": 59.99999798516986, ""gamma"": 60.000013002551405, ""volume"": 82.55292826433187}, ""properties"": {}, ""sites"": [{""species"": [{""element"": ""Rb"", ""occu"": 1}], ""abc"": [0.0, -0.0, -0.0], ""properties"": {""magmom"": -0.0}, ""label"": ""Rb"", ""xyz"": [0.0, 0.0, 0.0]}, {""species"": [{""element"": ""Br"", ""occu"": 1}], ""abc"": [0.5, 0.5, 0.5], ""properties"": {""magmom"": -0.0}, ""label"": ""Br"", ""xyz"": [2.8217708549999996, 1.99529387, 4.88745206]}], ""@version"": null}",13.82
ICSD_164970,mp-7140,"{""@module"": ""pymatgen.core.structure"", ""@class"": ""Structure"", ""charge"": 0, ""lattice"": {""matrix"": [[3.0735135, 0.0, 0.0], [-1.53675725, 2.66174147, -0.0], [0.0, -0.0, 5.04524771]], ""pbc"": [true, true, true], ""a"": 3.0735135, ""b"": 3.073514356326536, ""c"": 5.04524771, ""alpha"": 90.0, ""beta"": 90.0, ""gamma"": 120.00000154633405, ""volume"": 41.27465862347238}, ""properties"": {}, ""sites"": [{""species"": [{""element"": ""Si"", ""occu"": 1}], ""abc"": [0.333333, 0.666667, 0.4996024], ""properties"": {""magmom"": -0.0}, ""label"": ""Si"", ""xyz"": [-1.8700902501858019e-06, 1.77449520058049, 2.520617864510504]}, {""species"": [{""element"": ""Si"", ""occu"": 1}], ""abc"": [0.666667, 0.333333, 0.9996024], ""properties"": {""magmom"": -0.0}, ""label"": ""Si"", ""xyz"": [1.5367581200902498, 0.8872462694195099, 5.043241719510504]}, {""species"": [{""element"": ""C"", ""occu"": 1}], ""abc"": [0.333333, 0.666667, 0.8753976], ""properties"": {""magmom"": -0.0}, ""label"": ""C"", ""xyz"": [-1.8700902501858019e-06, 1.77449520058049, 4.4165977367394955]}, {""species"": [{""element"": ""C"", ""occu"": 1}], ""abc"": [0.666667, 0.333333, 0.3753976], ""properties"": {""magmom"": -0.0}, ""label"": ""C"", ""xyz"": [1.5367581200902498, 0.8872462694195099, 1.893973881739496]}], ""@version"": null}",219.0
